step,expected_cost,expected_diff
0,3.9380558228831957,0.25326547217737944
1000,3.9392984370892488,0.2547587410431829
2000,3.9623939232692025,0.25940621182365037
3000,3.9376836992990762,0.2543766975926468
4000,3.9393290126942584,0.2508976378292324
5000,3.960132889511962,0.2590682525310594
6000,3.9557216981031718,0.2601281570986061
7000,3.9418094990438317,0.2550768133390241
8000,3.948949788940957,0.25116836519995844
9000,3.9428541833304456,0.2533765616388688
10000,3.819882213874303,0.25161323565562355
11000,2.9942830904574333,0.13188886833951363
12000,2.984236655455804,0.13047666148302683
13000,2.9948643289039807,0.13519469190673772
14000,3.05722824181702,0.1373119358790951
15000,3.10728506909855,0.1447119429321276
16000,3.102415009666879,0.14980028637283507
17000,3.1150068629226673,0.14970259451764825
18000,3.126997270297987,0.14707595752710184
19000,3.0968757090913606,0.14469175162124756
20000,3.0714038767080627,0.14403115211408368
21000,3.0786385049041654,0.1448422898294494
22000,3.091446343206655,0.14412739791966617
23000,3.0949563057599634,0.14723716864705033
24000,3.114364630063522,0.14956686542332934
25000,3.11245600877564,0.1527537133706381
26000,3.116608450537441,0.1478105380976447
27000,3.1217694292828777,0.14826874305002968
28000,3.1273583532991176,0.15202606357551932
29000,3.1190551920094056,0.1528261466742403
30000,3.1275267375675453,0.15462703616813445
31000,3.1438772438149054,0.15169446630692204
32000,3.123987641410041,0.1496149769792881
33000,3.155296557407513,0.15395850281604623
34000,3.149508051635037,0.15547643474673303
35000,3.1297704957968557,0.1521183394630777
36000,3.1471601902112925,0.15356554223749416
37000,3.1485109038157377,0.15659180245285614
38000,3.136429185345759,0.1546700103634721
39000,3.1704976093583643,0.15731913505298012
40000,3.165701569667545,0.15396143446563507
41000,3.1753157149975317,0.15623969631891654
42000,3.1583318612721225,0.15653123839108174
43000,3.1639046637454085,0.15598320337155108
44000,3.164802330436461,0.15600595741964315
45000,3.1810379111851854,0.15053481413783032
46000,3.1755373725593214,0.15364441360564488
47000,3.1829373576208098,0.15129563806692276
48000,3.182934449068786,0.1516076050416428
49000,3.1769014001146987,0.15171148770919432
50000,3.1691123953190754,0.15382633556231234
