step,expected_cost,expected_diff
0,3.927346374739835,0.25568320711736425
1000,3.9444779484525494,0.25173382623520923
2000,3.954951774209485,0.2503472109378306
3000,3.9383823541027363,0.2550974521816287
4000,3.931947989054412,0.25349162779148193
5000,3.9316013826882847,0.26031812195534587
6000,3.9484761467855725,0.24865088180502798
7000,3.9752910340095577,0.2514413637916883
8000,3.947697229170062,0.251709765669042
9000,3.9579497696654924,0.2550906345805186
10000,3.820417643124124,0.24478074180980577
11000,2.9985203676497587,0.1319743841521206
12000,2.982326301363878,0.12025022305764792
13000,3.0259243746244953,0.1333578781633885
14000,3.035563107457221,0.13433889084325512
15000,100.0,100.0
16000,100.0,100.0
17000,100.0,100.0
18000,100.0,100.0
19000,100.0,100.0
20000,100.0,100.0
21000,100.0,100.0
22000,100.0,100.0
23000,100.0,100.0
24000,100.0,100.0
25000,100.0,100.0
26000,100.0,100.0
27000,100.0,100.0
28000,100.0,100.0
29000,100.0,100.0
30000,100.0,100.0
31000,100.0,100.0
32000,100.0,100.0
33000,100.0,100.0
34000,100.0,100.0
35000,100.0,100.0
36000,100.0,100.0
37000,100.0,100.0
38000,100.0,100.0
39000,100.0,100.0
40000,100.0,100.0
41000,100.0,100.0
42000,100.0,100.0
43000,100.0,100.0
44000,100.0,100.0
45000,100.0,100.0
46000,100.0,100.0
47000,100.0,100.0
48000,100.0,100.0
49000,100.0,100.0
50000,100.0,100.0
