step,expected_cost,expected_diff
0,17.395118265382884,4.3902328712486645
1000,17.049326836291815,4.422897628149233
2000,17.733435660603288,4.4194574684603145
3000,18.08046721530142,4.4149584552305505
4000,17.709638786616637,4.316208211025981
5000,17.518235608384263,4.305051430150103
6000,16.97743593866466,4.496745264406199
7000,17.73532452632041,4.4539002709603706
8000,18.943239628551652,4.327540094123528
9000,16.90318900538896,4.26420551503877
10000,29.19946279474219,0.9646058282501582
11000,6.247315053499436,9.521150630599937
12000,6.221589488606316,9.539589231011538
13000,6.288560682277059,9.256169813772157
14000,6.410539922588688,9.168002415692072
15000,6.2615195641240575,9.333898821404848
16000,6.16445193962712,9.280448775681425
17000,6.394784806818144,9.540790253848071
18000,6.400462634136447,9.39976172345124
19000,6.187875472100112,9.622359446869481
20000,6.434633172290722,9.66459596224663
21000,6.36574827033272,9.389278663741324
22000,6.265249561347027,9.455527684031884
23000,6.334540362537206,9.525067251572949
24000,6.250667766094487,9.50277350175789
25000,6.465159375894323,9.61980270957597
26000,6.3316824740969935,9.927059032789224
27000,6.221794861824477,9.44421652725363
28000,6.237326803028074,8.864085603365316
29000,6.343556759934845,9.624846156562272
30000,6.564308918896072,9.226773892861672
31000,6.334469975409856,9.236020017284156
32000,6.413275735609534,9.345086650544598
33000,6.367860242883959,9.257774821594108
34000,6.510702937740851,9.34971376171933
35000,6.628775891309711,9.16298931544397
36000,6.3135773142055305,9.496539058604249
37000,6.520034784107355,9.336727232460833
38000,6.171402579957479,9.344519928986019
39000,6.418119299063555,9.332360702280063
40000,6.501332454733144,9.31267808931263
41000,6.415478204026423,9.615218507354104
42000,6.573689341254391,9.714727848878757
43000,6.405525570404354,9.316283310014269
44000,6.26449967645354,9.554860440205017
45000,6.29376723675412,9.461413152194485
46000,6.3232835199464485,9.392893152986419
47000,6.144183057124334,9.592113705210352
48000,6.482053530118508,9.65814307422211
49000,6.234201107571741,9.53707217833612
50000,6.337635370387694,9.633749655347438
51000,6.341502215743533,9.372158769931909
52000,6.442145837241186,9.627668737373108
53000,6.201715319926149,9.44890882062699
54000,6.162588816947655,9.310583271173256
55000,6.297411585364059,9.76233859758473
56000,6.3379630009098555,9.49084655679518
57000,6.332169806714523,9.340372735343246
58000,6.476566597704416,9.809854888279796
59000,6.395110116189407,9.827283691172795
60000,6.500898992287031,9.809037361323108
61000,6.293275248315942,9.503639187936024
62000,6.147221363817881,9.081639160998408
63000,6.426820392240263,9.433159811642255
64000,6.245624831245047,9.309457437328335
65000,6.260419156001055,9.366942391136023
66000,6.195253928159087,9.268127154735442
67000,6.226079033375297,9.422102664466848
68000,6.409523153152407,9.490752952958825
69000,6.421103388589309,9.610255256688177
70000,6.472763722545455,9.269267102881674
71000,6.44456550309502,9.51519777444524
72000,6.434033348133841,9.288784200782947
73000,6.374824847855969,9.141614459988691
74000,6.154679415612941,9.730217401899008
75000,6.569885247835774,9.59782114196668
76000,6.324567673831247,9.152432060446996
77000,6.479187194456497,9.272462689174638
78000,6.341237540556815,9.441236272256072
79000,6.3708982994064085,9.337518897135169
80000,6.308541606891206,9.600462874873063
81000,6.2817242183906545,9.292105264212177
82000,6.457235685941685,9.477271708855769
83000,6.464630995511267,9.446920009302017
84000,6.232001130923376,9.751797347875527
85000,6.201564312304511,9.463314371247064
86000,6.383757547396566,9.637440042897243
87000,6.227270458244297,9.65994809893138
88000,6.381102033450394,9.21064837309302
89000,6.471162059526276,9.625707327357855
90000,6.40428563356077,9.461064840145594
91000,6.56996154414682,9.547761145551739
92000,6.427676600172646,9.663800258124342
93000,6.279498319335123,9.381190693514377
94000,6.308321251816794,9.44303740968773
95000,6.23787525435259,9.628601674205846
96000,6.302826655569737,9.709671131067717
97000,6.26780467708733,9.295943339549273
98000,6.248719412382758,9.364984656951492
99000,6.349228356170066,9.275257565239382
100000,6.129899502647818,9.553161125352121
